filename,class,ra,dec,ID,,catname, period,p2,p3,p4,
0.899:ID:GDR1_2163135367823138944.png,3,312.8169403,44.24999606,GDR1_2163135367823138944,,205116.06+441459.9,,,,,
0.693:ID:GDR1_2163138601937119360.png,2,312.8188403,44.38277355,GDR1_2163138601937119360,,205116.52+442257.9,2.424,,,,
0.541:ID:FHK_82.png,2,312.8238333,44.30830556,FHK_82,,205117.71+441829.8,7.175,,,,
0.544:ID:GDR1_2162947591850664960.png,1,312.8259917,44.21892965,GDR1_2162947591850664960,,205118.23+441308.1,7.885,,,,
0.909:ID:GDR1_2163136192456870016.png,3,312.8310633,44.32514609,GDR1_2163136192456870016,,205119.45+441930.5,,,,,
0.898:ID:GDR1_2163138597639123456.png,3,312.8326758,44.38512183,GDR1_2163138597639123456,,205119.84+442306.4,,,,,
0.809:ID:2MASS_J20512059+4420322.png,3,312.8358132,44.34228589,2MASS_J20512059+4420322,,205120.59+442032.2,1.623, ,,,second period at 2.58 days but with similar phasing
0.483:ID:FHK_86.png,2,312.8374167,44.43877778,FHK_86,,205120.97+442619.5,3.838,,,,
0.878:ID:2MASS_J20512139+4424054.png,3,312.8391174,44.40149992,2MASS_J20512139+4424054,,205121.38+442405.3,,,,,
0.676:ID:GDR1_2163137738645105280.png,3,312.8444554,44.35210069,GDR1_2163137738645105280,,205122.66+442107.5,3.884,,,,
0.862:ID:GDR1_2163148768121199360.png,3,312.8450345,44.5618316,GDR1_2163148768121199360,,205122.80+443342.5,4.947,,,,
0.509:ID:GDR1_2162948107246789120.png,2,312.8483717,44.26180599,GDR1_2162948107246789120,,205123.60+441542.5,6.789,,,,
0.951:ID:GDR1_2163149661474923520.png,3,312.8486573,44.58958383,GDR1_2163149661474923520,,205123.67+443522.5,,,,,possible ~10 day timescale
0.728:ID:GDR1_2162947420052773760.png,3,312.8517156,44.21783704,GDR1_2162947420052773760,,205124.41+441304.2,,,,,
0.897:ID:FHK_98.png,3,312.853,44.30516667,FHK_98,,205124.71+441818.5,,,,,
