,File Name,Norm Flux Q,Mag Q
61,EPIC247941930_all.dat,0.7660085624278098,0.7619218042087148
62,EPIC247764745_all.dat,0.5058266948234922,0.5086780204438578
63,EPIC247923794_all.dat,0.5413308484162015,0.5524823442226381
64,EPIC247792225_all.dat,0.850485801868325,0.8401685589686116
65,EPIC247047380_all.dat,0.8221780676916848,0.8250382171321152
66,EPIC248018652_all.dat,0.896567400774079,0.8965725232973862
67,EPIC247827638_all.dat,0.1501868874075418,0.15594045274338691
68,EPIC248051303_all.dat,0.886120123741825,0.8924582012781471
69,EPIC211104793_all.dat,0.7200119606012066,0.7203189183513103
70,EPIC247992575_all.dat,0.9867087091046183,0.9805837048957301
71,EPIC247046059_all.dat,0.8179476654524607,0.8177535238929511
72,EPIC247810494_all.dat,0.8550324419406926,0.849072176789297
73,EPIC247842020_all.dat,0.8778048068398993,0.8760409259218148
74,EPIC248018164_all.dat,0.8425574683161428,0.8394276565977575
75,EPIC248015397_all.dat,0.824014974096659,0.829513457123307
76,EPIC210777988_all.dat,0.6300135214508046,0.6277477143124922
77,EPIC248044306_all.dat,0.954757905860335,0.9516825989918201
78,EPIC210683818_all.dat,0.8898711432814691,0.8881126035787025
79,EPIC247932205_all.dat,0.9001806422464408,0.8999994795575439
80,EPIC247027353_all.dat,0.889840677193674,0.8849324478331362
81,EPIC247573157_all.dat,0.4150009946023867,0.41178896859515063
82,EPIC247968420_all.dat,0.7336133537423084,0.7430475765825629
83,EPIC247591534_all.dat,0.8598759304546065,0.8555948273119454
84,EPIC247584113_all.dat,0.7396474102277966,0.7373374478421081
85,EPIC246929818_all.dat,0.7061872208378408,0.7265994132674113
86,EPIC247575425_all.dat,0.8369153326211293,0.8535820496410619
87,EPIC246963876_all.dat,0.8658794445867466,0.8670906206702932
88,EPIC247103541_all.dat,0.8887864792039618,0.8912223706274065
89,EPIC248030407_all.dat,0.2640755539598444,0.2700071315489121
90,EPIC248057096_all.dat,0.7100533489159889,0.7105306400557282
91,EPIC247935696_all.dat,0.3954438770968452,0.394339345797928
92,EPIC247534022_all.dat,0.3704821030887495,0.3726294824588331
