hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457158.10525,bd,V,11.561,0.02,88.515,1.629
2458408.76686,bc,V,11.516,0.02,94.921,1.747
2458361.81923,bc,V,11.544,0.02,92.539,1.703
2457939.97513,bd,V,11.587,0.02,86.42,1.59
2457693.84801,bd,V,11.581,0.02,86.953,1.6
2457652.97242,bc,V,11.668,0.02,82.583,1.52
2457298.78501,bc,V,11.651,0.02,83.844,1.543
2457251.89404,bd,V,11.694,0.02,78.355,1.442
2458075.86001,bd,V,11.531,0.02,90.984,1.674
2457357.77389,bc,V,11.407,0.02,104.995,1.932
2457174.04218,bc,V,11.485,0.02,97.746,1.799
2457156.12108,bd,V,11.607,0.02,84.843,1.561
2457009.72383,bc,V,11.53,0.02,93.713,1.724
2458004.94061,bd,V,11.637,0.02,82.514,1.518
2457997.8316,bc,V,11.632,0.02,85.326,1.57
2457550.06939,bd,V,11.41,0.02,101.768,1.873
2457230.88035,bc,V,11.463,0.02,99.725,1.835
2457207.06191,bd,V,11.634,0.02,82.767,1.523
2458338.99033,bc,V,11.405,0.02,105.22,1.936
2458110.75841,bd,V,11.434,0.02,99.487,1.831
2457973.94172,bc,V,11.439,0.02,101.898,1.875
2457942.99101,bc,V,11.69,0.02,80.864,1.488
