ID,RA_jan,DEC_jan,PER_jan,Q_jan,M_jan,primary_class_jan,secondary_class_jan,per_changed
FHK_506,314.581375,43.89575,3.414146527,0.802299935,0.350423464,qpd,,
GDR1_2162126187945624704,314.5057528,43.7555932,,0.802963601,0.464860483,qpd,,
GDR1_2162931786370808448,313.1168028,44.05861394,154.7234825,0.803680642,-0.098254941,b,,
FHK_163,313.0193333,44.62511111,54.68595864,0.803827277,1.110095103,qpd,,
FHK_485,314.886,44.14327778,0.83879275,0.804666229,0.071541061,qps,,
GDR1_2162231676644797824,314.8864393,44.1430611,,0.804666229,0.071541061,qps,,
GDR1_2162946767216898432,312.9535924,44.1840804,4.159,0.804931182,-0.244863405,qps,,TRUE
FHK_460,314.6064583,43.89127778,8.540412291,0.806117422,0.732060364,qpd,,
2MASS_J20512059+4420322,312.8358132,44.34228589,1.623785909,0.809538389,-0.422165856,b,,
2MASS_J20505543+4417461,312.7309995,44.29608741,9.371,0.81017526,0.181253393,qps,,TRUE
FHK_44,312.7394583,44.41272222,2.207354572,0.810936647,0.186059408,qps,,
GDR1_2162947798009095808,312.8624502,44.22094147,9.684,0.811339164,-0.278302434,qps,l,TRUE
GDR1_2163169761929937280,312.6906808,44.91994974,,0.811744606,0.478528944,apd,,
GDR1_2163138116611233408,312.953189,44.3947049,8.859677726,0.811969925,-0.224973882,qps,l,
GDR1_2163144851111005056,312.9945809,44.50758286,182.55218,0.813417529,0.755397641,qpd,,
GDR1_2162939208074518912,313.2187269,44.24031714,,0.813679597,0.73599536,qpd,l,
GDR1_2162947729289614848,312.8818772,44.21699752,235.4983471,0.813714122,0.648025786,qpd,l,
GDR1_2162902683672550912,314.0487984,44.18196084,4.47,0.814328265,0.990173798,qpd,,TRUE
FHK_40,312.72625,44.29794444,6.524584329,0.815379189,-0.144376505,qps,,
2MASS_J20511455+4413379,312.8106512,44.22717526,235.4983471,0.816245123,-0.003947203,qps,,
GDR1_2162909830498130048,313.762596,44.18112216,138.8486621,0.81649608,0.303008328,qpd,,
GDR1_2066855807501721472,312.7269512,43.77326917,3.596040413,0.818284245,-0.075894012,qps,,
FHK_451,314.5746667,43.89558333,15.044,0.818682226,-0.011839142,qps,,TRUE
GDR2_2162951684957670144,313.1115177,44.28513874,,0.821293636,-0.389815592,b,l,
FHK_455,314.58975,43.89580556,2.873871917,0.824721999,0.028673554,qps,,
GDR1_2162988754817727232,313.6121693,44.79805823,11.59165236,0.827530819,0.920888562,qpd,,
GDR1_2162949378557095680,312.9225695,44.25195556,6.73,0.828089503,-0.011707178,qps,,TRUE
FHK_75,312.8069167,44.53961111,4.189,0.828865825,-0.415679049,b,l,TRUE
GDR1_2163140453064444544,312.712332,44.39623822,3.536,0.830868949,0.423007224,qps,,TRUE
GDR1_2163148596322501760,312.873683,44.53878709,,0.832119713,-0.772128025,b,,
2MASS_J20512139+4424054,312.8391174,44.40149992,,0.832574785,-0.18360734,b,,
FHK_213,313.1409167,44.40719444,8.937695418,0.833252799,-0.073479322,qps,,
GDR1_2163140281266601728,312.7448013,44.38816458,4.445552248,0.834660263,-0.1726996,qps,,
GDR1_2067069937403328128,312.1369367,44.19989675,115.0559831,0.83625401,-0.265405504,b,,
GDR1_2163137360688842752,312.7746285,44.39641898,,0.836692376,-0.110952343,qps,l,
GDR1_2162969788241973632,313.6860746,44.52895152,,0.838038236,-0.295271222,b,,
GDR1_2162940067068027264,313.4012305,44.27395532,6.341,0.838462506,0.290986531,qpd,,TRUE
GDR1_2162924673904534272,313.2262823,43.87124329,118.4188778,0.839734561,0.629221297,qpd,,
GDR1_2162121961697794304,314.2639595,43.69569039,200.4936641,0.841109373,0.376879705,qpd,l,
FHK_579,314.9905833,44.78683333,3.731,0.844617644,0.151656544,l,,TRUE
GDR1_2163136123738466688,312.8003827,44.31324084,,0.844882063,0.078625681,qps,,
FHK_362,313.713125,44.19302778,2.421,0.84523716,-0.309294345,b,,TRUE
GDR2_2163136059317926016,312.8130653,44.30487703,4.224,0.845292815,0.286666526,qpd,,TRUE
GDR1_2163135677060562176,312.7737481,44.2756175,10.484,0.850732239,0.390828239,qpd,,TRUE
GDR1_2162886568955114112,313.42792,44.06351857,9.73,0.851772486,0.472130463,qpd,,TRUE
GDR1_2162886775113495552,313.5160985,44.02993625,4.901793091,0.852398754,0.319690379,qps,,
FHK_142,312.95675,44.63127778,,0.85285742,-0.727325805,b,,
FHK_405,314.194875,43.76916667,111.8762962,0.852942637,0.679840933,apd,,
GDR1_2162091003573281920,314.1507482,43.35907206,32.60770622,0.853736467,-0.282463077,b,,
GDR1_2162221811096717952,314.5817322,43.89846388,,0.8543773,0.043691145,qps,,
GDR1_2067128795623856256,312.3586594,44.5915986,,0.855620982,0.518096855,s,,
2MASS_J20515226+4418213,312.9677502,44.30591573,2.026,0.856181023,0.044634811,qps,,TRUE
GDR1_2162966798944719488,313.536555,44.50318106,,0.856445688,0.042223039,s,,
GDR1_2067032760152922112,311.9084625,43.82448369,6.680736485,0.858277962,-0.488004019,b,,
GDR1_2162240708953684992,314.5397046,44.18408643,191.1471525,0.858392628,0.239309635,s,,
2MASS_J20505363+4424305,312.7234562,44.40844659,5.340230268,0.859273252,0.784120496,apd,,
FHK_390,314.0839583,44.70777778,200.5914552,0.859926785,-0.162781609,qps,,
GDR1_2162221673657763584,314.6267389,43.89975753,6.446772246,0.860481741,0.301903311,qpd,,
FHK_47,312.7434583,44.24561111,3.422457121,0.861027423,-0.11930859,qps,,
GDR1_2162948691363126144,312.9704197,44.26594796,200.5914552,0.86196587,0.832675459,apd,,
GDR1_2163148768121199360,312.8450345,44.5618316,,0.862244178,-0.245137951,s,,
GDR1_2162975698125115392,313.7264296,44.72860375,1.018211627,0.865565315,-0.401992091,b,,
GDR1_2162221776736976896,314.5709473,43.89535911,106.0188118,0.866692851,0.346448034,l,,
GDR1_2162951474504020224,313.2076249,44.31726527,8.62353862,0.870193106,0.786156877,apd,,
GDR1_2067034237622346240,311.8550695,43.80895437,4.681,0.871594409,-0.062871369,l,,TRUE
GDR1_2162955803828359040,313.0766348,44.41724782,0.977044431,0.872480777,0.321262485,apd,,
GDR2_2163137120170654720,312.7589573,44.3358505,160.8537152,0.873953441,-0.400002907,b,,
FHK_146,312.9820833,44.56463889,47.6288296,0.875061233,0.850254675,apd,,
