hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458359.62431,bh,V,13.627,0.02231,12.524,0.257
2458140.86597,bh,V,13.415,0.02186,15.234,0.306
2457874.83542,bh,V,13.917,0.02395,9.594,0.211
2457785.85149,bh,V,13.495,0.02195,14.151,0.286
2457534.78946,bg,V,14.217,0.02592,7.89,0.188
2458197.79996,bh,V,14.212,0.02689,7.31,0.181
2458171.75995,bg,V,14.266,0.02648,7.543,0.184
2458238.62317,bh,V,13.36,0.02185,16.023,0.322
2457621.64148,bh,V,14.2,0.02674,7.394,0.182
2458375.57442,bh,V,13.768,0.02296,11.006,0.232
2458138.84408,bg,V,13.59,0.02197,14.061,0.284
2457915.73008,bg,V,14.274,0.02657,7.487,0.183
2458189.83288,bg,V,13.343,0.02195,17.651,0.356
2457913.62046,bg,V,14.094,0.02469,8.838,0.201
2457595.63806,bg,V,14.131,0.02504,8.537,0.197
2457529.8503,bg,V,13.568,0.02193,14.344,0.289
2458363.56633,bg,V,13.809,0.02271,11.487,0.24
2458229.78084,bh,V,13.925,0.02401,9.518,0.21
2457791.85313,bg,V,14.179,0.02552,8.168,0.192
2457573.71167,bh,V,14.037,0.02498,8.592,0.197
2458228.85304,bh,V,13.818,0.02325,10.509,0.225
2457973.60221,bh,V,14.058,0.02518,8.426,0.195
2457934.6074,bh,V,13.708,0.02265,11.629,0.242
2457771.85238,bg,V,13.385,0.02189,16.975,0.342
2457637.54151,bg,V,13.296,0.02206,18.432,0.374
2458360.58203,bh,V,13.437,0.02188,14.925,0.3
2458340.58322,bg,V,13.901,0.02322,10.56,0.226
2458216.75069,bh,V,13.821,0.02327,10.476,0.224
2457906.78392,bh,V,13.429,0.02187,15.039,0.303
2458335.69576,bh,V,13.518,0.022,13.851,0.28
2458150.85123,bh,V,13.653,0.02241,12.237,0.252
2457819.89648,bh,V,13.53,0.02202,13.699,0.278
2458367.56822,bh,V,14.164,0.02631,7.637,0.185
2458200.83196,bg,V,13.354,0.02193,17.47,0.353
2457957.51265,bg,V,13.47,0.02185,15.699,0.316
2457818.87207,bh,V,14.066,0.02526,8.363,0.194
2458196.80122,bg,V,14.444,0.02884,6.403,0.17
2458161.82198,bh,V,14.068,0.02528,8.35,0.194
2457769.85675,bg,V,13.974,0.02371,9.868,0.215
2457668.48969,bh,V,13.975,0.02442,9.096,0.204
2457616.50893,bg,V,13.797,0.02265,11.613,0.242
2457465.85485,bh,V,13.454,0.02189,14.688,0.296
2458165.81631,bh,V,13.527,0.02202,13.741,0.278
2458145.82746,bg,V,13.952,0.02356,10.07,0.218
2458141.83552,bg,V,13.518,0.02187,15.017,0.302
2457942.65871,bh,V,13.4,0.02185,15.439,0.31
2457893.74071,bg,V,13.502,0.02186,15.243,0.307
2458243.90476,bg,V,13.968,0.02367,9.928,0.216
2458194.82061,bh,V,14.071,0.02531,8.321,0.194
2457791.86445,bh,V,14.257,0.02746,7.01,0.177
2457779.83855,bg,V,14.264,0.02645,7.554,0.184
2457626.60614,bh,V,13.522,0.02201,13.797,0.279
2458185.79455,bh,V,14.215,0.02692,7.287,0.18
2458003.59321,bh,V,13.752,0.02287,11.162,0.235
2457835.90836,bh,V,13.547,0.02206,13.482,0.274
2457826.70368,bg,V,13.882,0.02311,10.745,0.228
2458186.74347,bg,V,13.9,0.02322,10.563,0.226
2458185.78346,bg,V,14.211,0.02585,7.938,0.189
2458174.76962,bg,V,13.789,0.02261,11.709,0.244
2458137.87552,bh,V,13.874,0.02363,9.98,0.217
2458003.51187,bg,V,13.623,0.02204,13.634,0.276
2457523.58915,bh,V,14.262,0.02752,6.978,0.177
2458371.55378,bh,V,13.674,0.02249,11.997,0.248
2458332.51616,bh,V,14.222,0.02701,7.244,0.18
2458314.71716,bh,V,13.846,0.02344,10.237,0.221
2458182.76571,bh,V,14.09,0.0255,8.179,0.192
2458142.83521,bg,V,13.712,0.0223,12.559,0.258
2457882.67982,bg,V,13.316,0.02201,18.085,0.366
2457523.76478,bg,V,14.329,0.02725,7.119,0.178
2458359.57479,bg,V,13.491,0.02185,15.394,0.31
2458204.74154,bg,V,13.788,0.02261,11.717,0.244
2458201.84173,bg,V,13.318,0.022,18.053,0.365
2458188.85971,bg,V,13.265,0.02214,18.963,0.386
2458159.8927,bh,V,14.361,0.02891,6.37,0.169
2457974.62153,bg,V,14.013,0.02401,9.521,0.21
2457911.7565,bh,V,13.771,0.02297,10.972,0.232
2457882.62364,bh,V,13.168,0.02217,19.119,0.39
2458334.65928,bg,V,13.661,0.02213,13.171,0.268
2458241.91748,bg,V,13.833,0.02283,11.242,0.236
2458233.73676,bh,V,14.382,0.02923,6.25,0.168
2457845.8021,bg,V,13.322,0.022,17.986,0.364
2457799.83211,bh,V,13.61,0.02225,12.724,0.26
2458310.73807,bh,V,13.552,0.02208,13.43,0.273
2458200.8276,bh,V,13.44,0.02188,14.888,0.3
2457828.81122,bg,V,14.241,0.02619,7.717,0.186
2458331.66768,bg,V,14.452,0.02896,6.354,0.169
2458243.72096,bh,V,14.069,0.02529,8.337,0.194
2458371.51451,bg,V,13.569,0.02193,14.336,0.289
2458244.72325,bh,V,14.154,0.0262,7.709,0.186
2458212.79949,bg,V,13.414,0.02186,16.53,0.332
