ID,Q,M
GDR1_2162221811096717952,0.07089841056018273,0.010429552749909756
GDR1_2067128658184872064,0.08927188354803009,0.13451057931223817
GDR1_2162951474504020224,0.1760873029135958,0.39592773589716485
GDR1_2162947591850664960,0.06298232266218269,-0.1036524900229013
GDR1_2162935565942174208,0.22305121425550162,0.27431318961887136
GDR1_2162964874800490496,0.009067860313707725,0.35359368852287804
GDR1_2162988101982678912,0.23687350007694416,0.11210663655621315
GDR1_2163137738645105280,0.1127025275707333,0.18588196940750307
GDR1_2162965287117378944,0.21436875482166207,0.49769511129935395
2MASS_J20511455+4413379,0.04550377551524167,0.10119856559395933
GDR1_2162949378557115136,0.06665598392937214,-0.06128134348276872
GDR1_2163139873247408384,0.050937570310202664,0.04898202436661097
GDR1_2162969788241973632,0.023121905460873244,-0.07140715597073394
2MASS_J20513761+4420045,0.030930331239683202,-0.17214290366693422
GDR1_2162942918926094208,0.0355191275820299,0.030443430333829808
2MASS_J20512464+4417549,0.030302789794232156,-0.24896225309627926
GDR1_2162955185352996096,0.6908266204159874,0.11192413721246514
2MASS_J20511374+4422252,0.03405922438836936,-0.12994488471157115
PSO_J205746.108+435819.388,0.008032452622948065,-0.1872463423116144
GDR1_2162944911791083136,0.046007471683286345,0.11558573554147723
GDR1_2162117563651224960,0.05909214687063266,0.03765139514252633
GDR1_2163138361418522624,0.18322192379038144,0.1944457566515969
GDR1_2162902683672550912,0.2184375012369662,0.4848008073750954
GDR1_2163135573981345152,0.025843358968710074,-0.0019961565751963404
GDR1_2162144295529814400,0.009963637150039614,-0.050855233608859594
GDR1_2162221673657766272,0.037766551614423355,0.08098849466053862
2MASS_J20505703+4416432,0.0268896517470913,-0.08782840074442816
GDR1_2162945976943020416,0.2988920505140436,0.139388839774189
GDR1_2162965012238950656,0.02406979650981095,0.036096355390420526
2MASS_J20511244+4419430,0.02506214225517822,-0.12394675148908338
GDR1_2163136123738466688,0.08966802785434844,0.005947886454337955
2MASS_J20523553+4419105,0.028846300629401963,-0.4432916870664981
GDR1_2163135677060562176,0.25755979951616054,0.20225851487367558
GDR1_2162949309837722880,0.061306389921742276,0.16349201302826674
GDR1_2163155055959979392,0.12536472727452116,0.20007569242332401
GDR1_2066844954118735744,0.07325231260696236,-0.04039033995052894
GDR1_2162969788241971712,0.03278781780151865,-0.09508281885919996
GDR1_2163155227752761088,0.08649723004152621,0.13033774143288082
DPP2017_409,0.055667130740311516,-0.2990826371195796
GDR1_2162966798944719488,0.038695761538142984,-0.05608293082697349
GDR1_2162976488391103104,0.017624251749594356,-0.2613620247444327
