Name,Best Period (days),Power,90% FAP,95% FAP,99% FAP
GDR1_2162977523478063872,286.9228688,0.112387242,0.062428685,0.066954162,0.077068357
GDR1_2162964977879706112,5.456823601,0.50615701,0.324663752,0.349115228,0.400879602
FHK_413,8.065444919,0.059774529,0.066463273,0.071311576,0.082139907
FHK_456,7.831494218,0.315752139,0.064944586,0.069670208,0.080227289
GDR1_2067074301079809408,4.753094036,0.303036498,0.055803433,0.059808254,0.068768514
FHK_386,98.47765283,0.104038486,0.065338424,0.070093947,0.080717183
GDR1_2162139210286483840,2.246212407,0.121371484,0.095002917,0.102465113,0.119033058
GDR1_2163145984982389632,183.2921285,0.236493181,0.062428685,0.066954162,0.077068357
FHK_46,4.878754211,0.578328719,0.071650692,0.076886613,0.088571605
GDR1_2162958488183262208,251.3898194,0.222423325,0.069493848,0.074590506,0.085967471
GDR1_2163136742213531520,5.50004138,0.185966811,0.062428685,0.066954162,0.077068357
FHK_62,7.896248997,0.673217592,0.071650692,0.076886613,0.088571605
GDR1_2162939792190072448,9.038977714,0.312138506,0.04084904,0.04368412,0.050042909
2MASS_J20511244+4419430,4.210812708,0.113427431,0.062428685,0.066954162,0.077068357
GDR1_2163155227752761088,6.351960974,0.180816782,0.062428685,0.066954162,0.077068357
FHK_282,3.176352301,0.602290912,0.039917647,0.042684765,0.048891962
GDR1_2163136810933010048,267.9836079,0.314513267,0.062599276,0.067138504,0.077283137
FHK_183,3.211529254,0.512952169,0.062428685,0.066954162,0.077068357
FHK_517,3.526781759,0.240365783,0.062428685,0.066954162,0.077068357
2MASS_J20510029+4424364,7.010025205,0.66681744,0.062598371,0.067137606,0.077282255
FHK_327,4.241523041,0.112912713,0.112145071,0.121012323,0.140640086
FHK_362,2.420686532,0.117411591,0.039243298,0.041960237,0.048055494
GDR2_2163137120170654720,400,0.22747822,0.062972048,0.067538789,0.077744358
GDR1_2163148768121199360,267.9836079,0.132991185,0.062428685,0.066954162,0.077068357
GDR1_2163139804527939968,6.225340505,0.363570457,0.062428685,0.066954162,0.077068357
FHK_203,10.90919663,0.079245992,0.039984888,0.042757136,0.048975771
FHK_433,223.687903,0.32171233,0.039372579,0.042099431,0.048216797
