old_name,preferred_name,ra,dec,Simbad,TMASS,GaiaDR2,NameFHK
GDR1 2163138597639123456,FHK 85,312.83268,44.38512,2MASS J20511985+4423065,2MASS J20511985+4423065,Gaia DR2 2163138601938577664,FHK 85
2MASS J20512059+4420322,FHK 557,312.83581,44.34229,2MASS J20512059+4420322,2MASS J20512059+4420322,Gaia DR2 2163137742945112960,FHK 557
FHK 86,LkHA  153,312.83742,44.43878,EM* LkHA  153,2MASS J20512099+4426196,Gaia DR2 2163139323493015936,FHK 86
2MASS J20512139+4424054,2MASS J20512139+4424054,312.83912,44.4015,,2MASS J20512139+4424054,Gaia DR2 2163138705017719296,
GDR1 2163137738645105280,LkHA  154,312.84446,44.3521,EM* LkHA  154,2MASS J20512267+4421077,Gaia DR2 2163137742945115136,FHK 89
GDR1 2163148768121199360,FHK 90,312.84503,44.56183,2MASS J20512281+4433426,2MASS J20512281+4433426,Gaia DR2 2163148772421081728,FHK 90
GDR1 2162948107246789120,FHK 91,312.84837,44.26181,2MASS J20512360+4415425,2MASS J20512360+4415425,Gaia DR2 2162948107246789120,FHK 91
GDR1 2163149661474923520,FHK 93,312.84866,44.58958,2MASS J20512369+4435226,2MASS J20512369+4435226,Gaia DR2 2163149665774282368,FHK 93
GDR1 2162947420052773760,FHK 96,312.85172,44.21784,2MASS J20512441+4413043,2MASS J20512441+4413043,Gaia DR2 2162947424350344448,FHK 96
FHK 98,FHK 98,312.853,44.30517,Gaia DR2 2163135990598449920,2MASS J20512470+4418187,Gaia DR2 2163135990598449920,FHK 98
FHK 101,FHK 101,312.86058,44.608,2MASS J20512654+4436287,2MASS J20512654+4436287,Gaia DR2 2163150043731405824,FHK 101
GDR1 2162947798009095808,LkHA  156,312.86245,44.22094,EM* LkHA  156,2MASS J20512698+4413154,Gaia DR2 2162947798009095808,FHK 103
GDR1 2163139151692568576,FHK 104,312.86852,44.43362,2MASS J20512845+4426011,2MASS J20512845+4426011,Gaia DR2 2163139151692568576,FHK 104
GDR1 2162948141606527616,FHK 105,312.86909,44.26254,2MASS J20512855+4415454,2MASS J20512855+4415454,Gaia DR2 2162948141606527616,FHK 105
GDR1 2163148596322501760,FHK 107,312.87368,44.53879,2MASS J20512969+4432197,2MASS J20512969+4432197,Gaia DR2 2163148600622382592,FHK 107
GDR1 2162946080022052992,FHK 109,312.87875,44.11651,2MASS J20513089+4406594,2MASS J20513089+4406594,Gaia DR2 2162946084320007552,FHK 109
GDR1 2162947729289614848,FHK 110,312.88188,44.217,2MASS J20513164+4413013,2MASS J20513164+4413013,Gaia DR2 2162947729289614848,FHK 110
GDR1 2163138288400926464,LkHA  157,312.8866,44.39665,EM* LkHA  157,2MASS J20513278+4423480,Gaia DR2 2163138292700849920,FHK 113
GDR1 2163149317877028224,FHK 114,312.888,44.61655,2MASS J20513312+4436596,2MASS J20513312+4436596,Gaia DR2 2163149322176897792,FHK 114
FHK 115,LkHA  158,312.88908,44.44358,EM* LkHA  158,2MASS J20513338+4426370,Gaia DR2 2163139186054055680,FHK 115
GDR1 2163149214797802752,FHK 116,312.88917,44.58175,2MASS J20513340+4434543,2MASS J20513340+4434543,Gaia DR2 2163149219097677568,FHK 116
