star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
GDR1_2162932851524210816,4.10552637734634,0.5166545903294777,10.699043171399303,1.1032602045477082,76.31079505025579,1.6453840074400528,1.1069982378604706
GDR1_2162932993257907584,0.36988610756816387,0.06124344051242922,13.223256561308542,0.047762707111004055,20.29873325305255,3.081858053802214,0.26426160435889806
GDR1_2162933882314931968,1.2316060644976052,0.06653697109899759,16.478881553573373,0.12402268813442241,50.92519879545151,1.5120188213217256,0.3909204121865484
GDR1_2162935565942174208,2.0285600118014595,0.12617687625358454,14.953306480275847,0.290119099267665,63.75852242741934,1.398013696050558,1.7749043519204386
GDR1_2162936665453858432,1.5324417633058092,0.06601358928102397,16.119722744760693,0.14437088217509242,56.873408155450754,1.128376736816963,0.8859256788382339
GDR1_2162938074203123712,1.5623771467173078,0.16724745616145398,15.921119156297692,0.3486246016506094,57.37871054124038,2.73950632924328,1.5799083847578819
GDR1_2162939173714801152,2.4012081670689587,0.22470207333111403,15.866714364244107,0.44421844340184524,67.39037015995648,1.8930431359302027,2.080951463124187
GDR1_2162939208074518912,5.595614482979811,1.2029721503787303,7.54731306770789,2.6474765385668313,79.8675474864231,2.1151326724210158,3.156898380860493
GDR1_2162939208074527616,4.253536445764216,0.4017771631944431,10.300873403797913,0.8360452553934259,76.77010113537504,1.1895365539508538,3.581645285080512
GDR1_2162939792190072448,1.1771230474410475,0.05492829686791223,17.97216259235102,0.13259345360954278,49.65113865411218,1.3170069850092072,1.2953014750591776
GDR1_2162940067068027264,1.8663706004613183,1.189705049287308,16.581007674083683,2.3078109189771165,61.81761122841622,12.259804379692323,2.616275207526447
GDR1_2162940067068027392,1.1125757062995776,0.056457789333965724,17.455114748345494,0.12692777827134627,48.05031331303315,1.442694377092959,0.6742690364436984
