ID,mean_r
GDR1_2162127562335172992,17.015865100662253
GDR1_2162903680105026176,18.299030080268203
2MASS_J20511252+4418093,17.507911318037973
GDR1_2163149214797802752,16.369284096518985
GDR1_2163140315626346880,16.650278862658226
GDR1_2067034237622346240,17.42457244257426
2MASS_J20515226+4418213,18.200085904761906
GDR1_2162223086709799296,18.769012180936453
GDR1_2162946080022052992,15.968770996309964
GDR1_2162872928138757248,17.450247625
GDR1_2162960820350057856,18.368272074050633
GDR1_2066855807501721472,16.624553913804714
GDR1_2162939792190072448,18.40965160176125
GDR1_2162940067068027264,18.302225167559524
GDR1_2162227205576431488,16.058203364126395
GDR1_2162224147560188672,18.832938666218812
2MASS_J20470481+4349114,19.034893894594596
GDR1_2163144576233088640,18.22164661107595
GDR1_2162939173714801152,18.751829627499998
GDR1_2162955803828359040,18.59538515886076
GDR1_2067032760152922112,18.552596622516553
GDR1_2162931580213813632,18.677729346946563
GDR1_2162947729289614848,18.577878004832712
GDR1_2162932993257907584,12.729297376078433
GDR1_2162122064777006080,18.53025657792642
2MASS_J20483292+4351190,19.30639051737589
GDR1_2162221776736976896,12.71868739143969
GDR1_2067030011373814272,18.004417798675494
2MASS_J20475256+4345137,18.24218667194719
2MASS_J20475256+4345137,18.24218667194719
GDR1_2067128795623856256,18.356640868773233
GDR1_2163169761929937280,18.24938069134615
GDR1_2163139804527939968,18.50078521777778
GDR1_2163140453064444544,18.008952876190474
2MASS_J20505838+4414444,15.049190183763839
GDR1_2163140281266601728,18.044684586075945
GDR2_2163137120170654720,18.52074329776358
GDR1_2163137360688842752,18.35151021582279
GDR1_2163143481019730688,17.175922171518987
GDR1_2163138597639123456,17.823620213375797
GDR1_2163139151692568576,17.900429102215192
GDR1_2162948691363126144,18.495977467540325
GDR1_2163144851111005056,18.22898430286624
GDR1_2162930652500328832,18.406579649999998
2MASS_J20523394+4429168,17.406404526265824
GDR1_2162939208074527616,17.32986503671875
GDR1_2162966146109606528,18.14623255727848
2MASS_J20564400+4346000,18.06001850797342
GDR1_2162135327636039936,17.989592233112578
2MASS_J20570162+4341387,18.564869548504983
GDR1_2162239506362783488,18.559317752327743
PSO_J205818.503+435346.014,18.066858266887415
GDR1_2162221673657763584,18.6480362367893
GDR1_2162235726791704960,18.248531540601505
GDR1_2162235795513138560,18.634627979133857
GDR1_2162231676644797824,18.335167832031253
FHK_8,17.930861225227964
FHK_15,15.2951091471519
FHK_21,17.449447292088607
FHK_22,17.840674112658228
FHK_24,16.181072238342967
FHK_26,16.437197907911393
FHK_28,16.59267731373057
FHK_32,16.69428304398734
FHK_35,17.260714003821658
FHK_36,14.963962011392406
FHK_40,17.05909723852459
FHK_43,15.946455352173913
FHK_44,17.63652670664557
FHK_45,16.48954746329114
FHK_46,15.041055618819188
FHK_47,15.049190183763839
FHK_48,15.67087337626582
FHK_56,17.909544746296294
FHK_62,15.998682344649445
FHK_67,17.175922171518987
FHK_75,16.547669854113924
FHK_79,15.457927763468634
FHK_82,17.210951628481016
FHK_86,15.12139472943038
FHK_98,18.1333075066879
FHK_101,18.2055116514377
FHK_115,14.99944426126984
FHK_118,18.105954954746835
FHK_123,16.960586586037735
FHK_127,15.68993641243243
FHK_130,15.44070238892405
FHK_133,16.875230833860762
FHK_134,18.4704446723301
FHK_137,16.42148929050633
FHK_138,18.389115951898734
FHK_142,14.645893890506331
FHK_146,15.871081526045016
FHK_150,17.3269699
FHK_153,15.192673933544306
FHK_155,14.666361271296296
FHK_158,15.927255687619047
FHK_163,14.156162515555554
FHK_164,17.45461151075949
FHK_165,12.924269782901556
FHK_172,16.146627497468355
FHK_179,18.67728777010582
FHK_181,16.667725382594934
FHK_182,17.548647459662288
FHK_183,17.080885022468355
FHK_192,17.51118385960265
FHK_200,15.642248783860762
FHK_203,18.324736732190477
FHK_210,17.216935001265824
FHK_213,18.337690137341774
FHK_216,16.1096266894636
FHK_217,17.3700066306962
FHK_226,17.37768687468354
FHK_234,18.314623541471573
FHK_251,15.94552321170886
FHK_253,14.196387123492062
FHK_255,18.22356009295238
FHK_272,17.396612630696204
FHK_278,14.443741231666666
FHK_281,16.458690968987344
FHK_282,16.505422041444866
FHK_285,17.597791905893537
FHK_286,18.148579890506326
FHK_300,17.3086925414557
FHK_323,17.23880222452471
FHK_327,18.183326107096775
FHK_344,16.71683148974359
FHK_348,15.6086406994403
FHK_361,17.883353257276116
FHK_362,17.674581081835207
FHK_371,16.862677871000002
FHK_372,17.079380843730885
FHK_390,18.30165102293578
FHK_405,17.34777808039867
FHK_408,14.724201862598424
FHK_409,18.40283689043152
FHK_418,15.401166710264901
FHK_430,16.91557074370861
FHK_431,16.068743418063313
FHK_434,14.827265697674417
FHK_438,18.68603251059603
FHK_442,17.502515415231787
FHK_444,18.681353464765103
FHK_451,16.648405226490066
FHK_455,16.31600544039735
FHK_456,16.56330697847682
FHK_459,15.569150735430467
FHK_460,18.028784549833887
FHK_464,19.255770423719166
FHK_468,19.065774103691275
FHK_473,17.06617821628788
FHK_479,12.436008956420233
FHK_485,18.335167832031253
FHK_489,14.974908689240507
FHK_490,17.482243312025314
FHK_493,15.545838199180325
FHK_496,17.289131726279866
FHK_500,17.81513967851852
FHK_506,17.586490596357613
FHK_510,18.159740317490495
FHK_511,17.724005658039218
FHK_514,17.919325901582283
FHK_517,15.614338815822785
FHK_524,17.94896921141439
FHK_530,17.185958587974685
FHK_531,17.30997563386076
FHK_532,16.62408673670886
FHK_543,15.921821395546559
FHK_562,14.129596097148289
FHK_566,17.18045186840491
FHK_567,16.90781455993884
FHK_569,15.885364830674844
FHK_571,17.985530385889568
FHK_575,17.404139577848103
FHK_576,18.072639693
FHK_577,18.01761746774194
FHK_579,15.293953728467153
FHK_580,17.546147067405066
