,ID_1,RA,DEC,PER,Q,M,NU,rMean,primary_class,secondary_class,ra_1,dec_1,id_2,ra_2,dec_2,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,ra_3,dec_3,AllWISE,RAJ2000_3,DEJ2000_3,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,ccf,ex,var,qph,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,__70_,e__70_,RAJ2000_4,DEJ2000_4,Separation
21,2MASS_J20564400+4346000,314.1833687815177,43.76669443921591,4.061232427020968,0.4526526192918462,0.1094733859012125,0.0150611339661432,18.060018507973425,qps,,314.1833687815177,43.76669443921591,2MASS_J20564400+4346000,314.1833687815177,43.76669443921591,13.289,12.544,12.209,0.023,0.029,0.022,AAA,222.0,314.1833687815177,43.76669443921591,J205644.02+434600.3,314.1834279,43.7667522,12.009,11.736,9.985,6.241,0.027,0.027,,,00o0,1,42nn,AAUU,,,,,,,,,,,,,,,0.0
22,2MASS_J20570162+4341387,314.2567903242784,43.69410701051157,2.988385751009951,0.611440255117138,-0.0672296853126851,0.011315739744883,18.564869548504983,qps,,314.2567903242784,43.69410701051157,2MASS_J20570162+4341387,314.2567903242784,43.69410701051157,13.952,13.142,12.649,0.029,0.032,0.029,AAA,222.0,314.2567903242784,43.69410701051157,J205701.66+434138.7,314.2569228,43.6940932,11.897,11.246,10.067,5.933,0.025,0.027,0.106,,0h00,1,22nn,AAAU,,,,,,,,,,,,,,,0.0
23,2MASS_J20582381+4353114,314.59920599772784,43.88648447204281,1.0114028400738575,0.7786613025157753,0.4802873034077813,0.0406147719677702,13.15541461960133,qpd,,314.59920599772784,43.88648447204281,2MASS_J20582381+4353114,314.59920599772784,43.88648447204281,10.56,9.622,8.835,0.024,0.03,0.021,AAA,222.0,314.59920599772784,43.88648447204281,J205823.80+435311.3,314.5991971,43.8864868,7.818,7.196,5.287,3.41,0.022,0.017,0.014,0.018,hh0d,3,2311,AAAA,7.9,0.05,7.49,0.05,7.11,0.05,6.34,0.05,3.6,0.04,,,314.59915194444443,43.886475,0.0
24,DPP2017_409,314.8032262870332,44.2741206966779,,0.7829138396941134,-0.2990826371195796,0.0083428592246347,17.163282937962965,b,,314.8032262870332,44.2741206966779,DPP2017_409,314.8032262870332,44.2741206966779,12.569,11.414,11.021,0.029,0.032,0.028,EAE,222.0,314.8032262870332,44.2741206966779,J205912.86+441626.8,314.8036062,44.2741312,10.649,10.565,10.267,8.461,0.022,0.02,0.07,,0hhH,0,000n,AAAU,,,,,,,,,,,,,,,0.0
25,FHK_101,312.8605833333333,44.60799999999998,182.55118311718252,0.8793312674913631,-0.0770565288994817,0.0643637317942498,18.2055116514377,s,,312.8605833333333,44.60799999999998,FHK_101,312.8605833333333,44.60799999999998,14.302,13.007,12.196,0.036,0.038,0.024,AAA,222.0,312.8605833333333,44.60799999999998,J205126.51+443628.2,312.8604934,44.6078564,10.956,10.548,8.789,6.378,0.022,0.021,0.068,0.118,0h00,1,4400,AAAB,11.14,0.05,10.74,0.05,10.41,0.06,9.8,0.06,6.63,0.05,,,312.86050388888884,44.60797888888888,0.0
26,FHK_115,312.88908333333325,44.443583333333336,6.292011060769418,0.7093870585485773,0.0056741249795522,0.0132791571645209,14.999444261269838,qps,,312.88908333333325,44.443583333333336,FHK_115,312.88908333333325,44.443583333333336,11.649,10.68,10.092,0.022,0.031,0.019,AAA,222.0,312.88908333333325,44.443583333333336,J205133.38+442636.9,312.8890879,44.4435987,9.228,8.676,7.14,5.343,0.023,0.019,0.021,0.047,0000,0,2211,AAAA,9.14,0.05,8.74,0.05,8.48,0.05,7.88,0.05,5.18,0.04,,,312.88909888888884,44.44362999999999,0.0
27,FHK_118,312.8974583333333,44.51088888888889,4.416535527230108,0.1136568549096481,0.2435415110905461,0.0103097774928305,18.105954954746835,p,,312.8974583333333,44.51088888888889,FHK_118,312.8974583333333,44.51088888888889,14.233,13.316,12.935,0.03,0.037,0.026,AAA,222.0,312.8974583333333,44.51088888888889,J205135.38+443039.1,312.8974481,44.510868,12.806,12.662,9.432,6.913,0.028,0.033,0.05,0.081,0000,0,1011,AAAA,,,,,,,,,,,,,,,0.0
28,FHK_123,312.9110833333333,44.0613888888889,0.9487325053844858,0.9170091572529424,-0.1613922364844975,0.031899543097807,16.960586586037735,s,,312.9110833333333,44.0613888888889,FHK_123,312.9110833333333,44.0613888888889,13.125,12.143,11.46,0.023,0.03,0.021,AAA,222.0,312.9110833333333,44.0613888888889,J205138.66+440340.8,312.9110835,44.0613542,10.51,9.916,7.705,5.784,0.023,0.02,0.025,0.059,00hh,0,0110,AAAA,10.33,0.05,9.91,0.05,9.63,0.05,8.8,0.06,5.82,0.05,,,312.91104111111105,44.06131388888888,0.0
29,FHK_127,312.9219166666666,43.79861111111112,1.356962746469088,0.4395211087721642,0.0370184401313867,0.010031587374708,15.689936412432427,qps,,312.9219166666666,43.79861111111112,FHK_127,312.9219166666666,43.79861111111112,12.164,11.212,10.894,0.023,0.031,0.023,AAA,222.0,312.9219166666666,43.79861111111112,J205141.25+434755.0,312.9218895,43.7986186,10.593,10.471,7.582,4.867,0.023,0.021,0.024,0.036,0000,1,1132,AAAA,,,,,,,,,,,,,,,0.0
30,FHK_130,312.92541666666665,44.64908333333333,8.214345951571262,0.5843234988187506,-0.005427432256361,0.0070598206451841,15.44070238892405,qps,l,312.92541666666665,44.64908333333333,FHK_130,312.92541666666665,44.64908333333333,11.973,11.048,10.534,0.023,0.033,0.02,AAA,222.0,312.92541666666665,44.64908333333333,J205142.09+443856.6,312.9254041,44.6490819,10.052,9.767,7.599,5.456,0.022,0.019,0.026,0.039,0000,0,8811,AAAA,10.06,0.05,9.84,0.05,9.64,0.05,8.94,0.05,5.85,0.04,,,312.9254761111111,44.64903305555555,0.0
