ID,Period,Power,90% FAP,95% FAP,99% FAP,99.9% FAP
2MASS_J20515226+4418213,2.0248646037406504,0.10653350855937926,0.06249355071860802,0.06701848088221786,0.07713156538786625,0.09116648870608601
2MASS_J20505966+4430153,2.893694604775484,0.626615385166314,0.06318286548000558,0.06776329508255342,0.07799921496455957,0.09220194821232769
GDR1_2162223086709799296,106.5752284342096,0.15454865976687288,0.06546852921572724,0.07023974483090702,0.08089759279332319,0.09567607696992807
GDR1_2162946080022052992,13.487885483388718,0.06399362820561279,0.07167914201142461,0.0769147969812859,0.0885992474826564,0.10477672588928959
GDR1_2162872928138757248,192.8504133571412,0.28910023214670016,0.06556732744164867,0.0703208562992882,0.08094003252379048,0.09566641080378431
GDR1_2162960820350057856,270.6569020333336,0.26973031037911244,0.06184070537654679,0.0663711567634606,0.07649545432164667,0.09054420433592167
GDR1_2162965772447499648,270.6569020333336,0.06449629649917639,0.062458339033961426,0.06698356565655493,0.07709725287460113,0.09113292027581325
GDR1_2162065306784469376,28.6523364104478,0.39037744311236083,0.3241401501561826,0.3486132913569639,0.4004217864258604,0.46621814465482736
GDR1_2162952470933666688,4.1854160108247465,0.2560151685210623,0.06301280761115688,0.06757920305980028,0.077784070064843,0.09194439555579269
2MASS_J20534506+4425179,270.6569020333336,0.30153381233270954,0.062384851103304745,0.0669106969307616,0.0770256427848301,0.09106286372153637
GDR1_2066855807501721472,3.593485963176544,0.15353320470143075,0.06589417790402138,0.07069565564317817,0.08142048569102624,0.09629043099314691
2MASS_J20502061+4547221,6.094306474603183,0.43104918181845286,0.33217297519728656,0.35758597704240347,0.41120472715458184,0.47893635722039457
GDR1_2162940445026460544,10.97257710945947,0.14977649149986452,0.0625688779859474,0.06710836265831045,0.0772535176471216,0.09133204407563413
GDR1_2162942128652084096,144.99476894642874,0.21193324366103444,0.0402455259499353,0.04303854899076469,0.049303497648799356,0.05804815873419601
GDR1_2162237101183363712,3.8860456265182237,0.3697782994970138,0.31847642050807634,0.34258035080255583,0.3936804827038457,0.4587309654224237
