ID,RA,DEC,PER,Q,M,NU,rMean,primary_class,secondary_class
2MASS_J20512139+4424054,312.83911742903166,44.40149991620572,0.5106580216047949,0.8325747852256932,-0.2480327270351282,0.007809850596611503,13.141350378481016,b,
2MASS_J20515226+4418213,312.9677502432141,44.3059157295101,0.662699130096249,0.8561810230389204,0.038542422776210325,0.028009108608460655,18.200085904761906,qps,
2MASS_J20522880+4418297,313.1200224959053,44.30822974945297,9.99374602603372,0.5679315895943079,0.30249472192608146,0.038296737790552655,18.360091347619047,qpd,
2MASS_J20523394+4429168,313.14143743188987,44.48800174730115,8.615267332984464,0.2916550467353051,0.028315694495787913,0.008445860053699983,17.406404526265824,p,
2MASS_J20532233+4438526,313.3430529515253,44.647931427049905,2.430701548636463,0.6584172151890357,-0.12859208066967562,0.0071508749306128565,15.530116970476193,qps,
2MASS_J20533662+4439529,313.40262665227465,44.66467215720368,3.2087630887766,0.4437691410717629,0.4126213552703583,0.009986539680120612,16.721199944303795,qpd,
2MASS_J20564400+4346000,314.1833687815177,43.76669443921591,4.061232427020968,0.4526526192918462,0.10947338590121254,0.015061133966143246,18.060018507973425,qps,
2MASS_J20570162+4341387,314.25679032427837,43.69410701051157,2.988385751009951,0.611440255117138,-0.06722968531268515,0.01131573974488305,18.564869548504983,qps,
2MASS_J20582381+4353114,314.59920599772784,43.88648447204281,1.0114028400738575,0.7786613025157753,0.4802873034077813,0.040614771967770295,13.15541461960133,qpd,
DPP2017_409,314.80322628703317,44.2741206966779,,0.7829138396941134,-0.2990826371195796,0.00834285922463478,17.163282937962965,b,
FHK_101,312.8605833333333,44.60799999999998,182.55118311718255,0.8793312674913631,-0.07705652889948178,0.06436373179424988,18.2055116514377,s,
FHK_115,312.88908333333325,44.443583333333336,6.292011060769418,0.7093870585485773,0.005674124979552212,0.013279157164520985,14.999444261269838,qps,
FHK_118,312.8974583333333,44.51088888888889,4.416535527230108,0.11365685490964815,0.2435415110905461,0.010309777492830572,18.105954954746835,p,
FHK_123,312.9110833333333,44.0613888888889,0.9487325053844858,0.9170091572529424,-0.16139223648449755,0.031899543097807084,16.960586586037735,s,
FHK_127,312.9219166666666,43.798611111111114,1.3569627464690879,0.4395211087721642,0.037018440131386735,0.01003158737470805,15.689936412432429,qps,
FHK_130,312.92541666666665,44.64908333333333,8.214345951571262,0.5843234988187506,-0.005427432256361047,0.0070598206451841375,15.44070238892405,qps,l
FHK_133,312.9370833333333,44.4386111111111,3.7722587346534295,0.15409875355498792,0.0854529911088212,0.010424188617510377,16.875230833860762,p,l
FHK_134,312.93816666666663,43.81730555555556,6.242051875309273,0.6086663137556902,0.2577065063966013,0.019525717280170614,18.4704446723301,qpd,
FHK_137,312.94395833333334,44.37258333333333,2.175419455713308,0.2455775808342626,0.14247172791852136,0.01454548372835691,16.42148929050633,p,
FHK_138,312.94758333333334,44.53561111111111,6.421386329003202,0.6985750578168695,0.18570330264458115,0.026638907331919457,18.389115951898734,qps,
FHK_142,312.95675,44.63127777777776,1.034829943937824,0.8528574202302243,-0.4899361785763663,0.004195797221486862,14.645893890506333,b,
FHK_146,312.9820833333334,44.5646388888889,47.628829600931866,0.8750612331854497,0.4899408664818922,0.019080215627158573,15.871081526045014,apd,
FHK_15,312.654125,44.34716666666666,,0.9170863581484112,0.3440814917202933,0.02344844497800676,15.2951091471519,l,
FHK_150,312.9936666666666,44.62338888888888,1.9058203052605305,0.1198571016334133,0.12785232436462493,0.012319890577406631,17.326969899999998,p,
FHK_153,312.99662499999994,44.42880555555556,4.154410343904903,0.7966730719084313,0.021764816450060925,0.011744985505060136,15.192673933544304,qps,
FHK_155,312.9975416666666,44.272861111111105,,0.9446047241865514,-0.20817036489571653,0.008349459737889673,14.666361271296294,s,
FHK_158,313.00466666666665,44.544166666666676,1.261905941062194,0.7394578198355893,-0.0818607750648907,0.006294217307619669,15.927255687619047,qps,
