star Identifier,odr slope,odr slope error
FHK_517,1.467931753,0.110933135
FHK_518,1.214893801,0.063414226
FHK_519,0.858698869,0.02967877
FHK_520,1.344239058,0.53459477
FHK_521,1.030953589,0.031950967
FHK_522,0,0
FHK_523,0,0
FHK_524,2.596160843,0.248799481
FHK_529,1.244964876,0.126285486
FHK_530,1.902518296,0.168696926
FHK_531,1.332394688,0.085846021
FHK_532,1.199981591,0.067779464
FHK_535,0.985306199,0.028546091
FHK_536,1.071792629,0.127893528
FHK_537,1.020506693,0.064903646
FHK_538,1.001326791,0.031086776
FHK_541,1.214789089,0.08200557
FHK_543,1.97947784,0.188829575
FHK_549,-70.46752453,831.8219051
FHK_551,2.040002895,0.229354045
FHK_555,9.568758022,10.23812533
FHK_56,1.594347394,0.115583412
FHK_560,1.01515241,0.040661728
FHK_561,1.032865321,0.059677824
FHK_562,0.889592451,0.041882763
FHK_566,1.409740834,0.090130048
FHK_567,3.220153201,0.479289287
FHK_569,3.100102167,0.416184724
FHK_571,1.23879221,0.094759688
FHK_573,1.173208011,0.07217622
FHK_574,1.028895387,0.065428387
FHK_575,1.169504905,0.059751414
FHK_576,1.199606905,0.072877628
FHK_577,7.255212413,1.360948116
FHK_578,1.21362415,0.05556404
FHK_579,7.051023073,2.541797406
FHK_580,0.989271245,0.068469271
FHK_62,2.704791425,0.248205898
FHK_67,4.269937346,0.642133958
FHK_68,0.941058217,0.096719727
FHK_7,0.982473892,0.032652394
FHK_70,1.106917713,0.057378572
FHK_71,0.986953723,0.031518235
FHK_75,1.508217231,0.089881998
FHK_79,3.141076183,0.459458004
FHK_8,1.132969858,0.076112659
FHK_82,5.847124255,0.677420242
FHK_86,3.872100881,0.373368187
FHK_87,0.603919963,0.186072588
FHK_88,2.249627419,0.683984598
FHK_92,1.410495327,0.088201242
FHK_94,1.071293321,0.085730194
FHK_98,2.19920255,0.236335761
GDR1_2065995748890512768,2.589608205,0.266165736
GDR1_2066773619008833664,0.903932436,0.055308809
GDR1_2066790146043148928,4.049699405,0.291003034
GDR1_2066794818967689472,1.57561465,0.107685816
GDR1_2066844954118735744,1.913257262,0.122066046
GDR1_2066855807501721472,1.826353975,0.141170025
GDR1_2066862542012143488,0.706359775,0.047335615
GDR1_2067026815919131392,2.48421574,0.071783507
GDR1_2067026953358039552,2.297200824,0.286498059
GDR1_2067030011373814272,4.364656799,0.312574243
GDR1_2067032760152922112,1.650691657,0.075751829
GDR1_2067034237622346240,5.649063418,0.620375914
GDR1_2067034306341810304,20.40708519,69.43824033
GDR1_2067034546860024960,1.945816864,0.131162305
GDR1_2067045679428023680,1.341191309,0.053925548
GDR1_2067059732550905600,1.774105842,0.115140889
GDR1_2067061691055800448,2.722825395,0.187183474
GDR1_2067062618768745728,1.419138619,0.064374914
GDR1_2067062824937136000,3.369849787,0.21547244
GDR1_2067063722575028480,0.625294801,0.160255283
GDR1_2067067807089176192,1.479681269,0.132730678
GDR1_2067068425564498688,0.950420537,0.098384437
GDR1_2067069937403328128,0,0
GDR1_2067074301079809408,3.549220164,0.242209991
GDR1_2067120514926515200,1.737661289,0.13227368
GDR1_2067128658184872064,2.412290826,0.233625622
GDR1_2067128795623856256,1.087871387,0.072339068
GDR1_2161843098061857280,-12.25032683,4.776599169
GDR1_2162065306784469376,-0.181574558,0.457447105
GDR1_2162078393549548288,1.006132204,0.079954817
GDR1_2162091003573281920,1.864130205,0.128566839
GDR1_2162091278451209472,0.951641887,0.043203496
GDR1_2162117563651224960,0.991578348,0.04390913
GDR1_2162121961697794304,3.97270418,0.333012931
GDR1_2162122064777006080,3.272549302,0.291671715
GDR1_2162122339654917120,3.158819028,0.348960072
GDR1_2162123198648385024,0.974350652,0.041070209
GDR1_2162126187945624704,3.729733685,0.374972265
GDR1_2162126325384584576,2.972321869,0.342160739
GDR1_2162127562335172992,5.018807094,0.897096095
GDR1_2162127974652045056,1.948022306,0.182188551
GDR1_2162128009011784832,4.553947851,0.582274937
GDR1_2162134880959435904,2.179354815,0.214360121
GDR1_2162135327636039936,2.523241469,0.103254971
GDR1_2162136598952029568,1.525836666,0.152136884
GDR1_2162139210286483840,1.077159549,0.037849967
GDR1_2162144295529814400,0.771318173,0.04384268
GDR1_2162168862740158592,0.859119413,0.045164927
GDR1_2162174910053832448,0.748165001,0.048820976
GDR1_2162220917743579520,0.950731248,0.103191464
GDR1_2162221536218867072,4.75027466,0.862598248
GDR1_2162221639298015872,1.718050818,0.128300127
GDR1_2162221673657763584,3.926767882,0.580591583
GDR1_2162221673657766272,1.462320253,0.108113723
GDR1_2162221776736976896,4.088078506,0.395680247
GDR1_2162221811096717952,2.208021205,0.11883011
GDR1_2162223086709799296,1.635001481,0.142759726
GDR1_2162224147560188672,1.551261724,0.096951217
GDR1_2162227205576431488,2.76497231,0.095331211
GDR1_2162231676644797824,0.861033937,0.041706954
GDR1_2162232531340072832,1.569313742,0.194919834
GDR1_2162235726791704960,5.821628481,1.080936677
GDR1_2162235795513138560,1.825126509,0.19862203
GDR1_2162236383929026816,10.05129325,17.58170717
GDR1_2162237101183363712,-0.65581577,0.6234644
GDR1_2162239506362783488,1.823838791,0.099280326
GDR1_2162239678161489664,1.196395816,0.066253829
GDR1_2162240708953684992,4.088637014,0.375749078
GDR1_2162251394832460672,1.449119392,0.091603671
GDR1_2162273522506513792,-0.001759711,0
GDR1_2162597397400140160,0.907578451,0.03017448
GDR1_2162872928138757248,3.236680154,0.146551316
GDR1_2162884782249510656,0.660166906,0.099150761
GDR1_2162886156638197760,0.934826403,0.08041168
GDR1_2162886568955114112,4.102921395,0.289732997
GDR1_2162886775113495552,3.567004364,0.270070541
GDR1_2162902683672550912,6.186233801,0.60086992
GDR1_2162903680105026176,2.3096515,0.225073816
GDR1_2162904161141389696,3.495844303,0.194673711
GDR1_2162909830498130048,2.814184917,0.15977638
