ID,RA,DEC,TYPE,PERIOD,SLOPE
GDR1_2163137738645105280,312.8444553863257,44.3521006870259,P,7.760405948880726,NA
GDR1_2162965287117378944,313.3769366489555,44.445401246216534,QPD,308.7427060056612,2.813666369
2MASS_J20511455+4413379,312.8106511817742,44.22717526035429,P,236.73120788653856,1.6311996359999998
GDR1_2162949378557115136,312.9246367931808,44.26892642828634,P,NA,2.09498499
GDR1_2163139873247408384,312.6685306707504,44.339344334403286,P,5.0361041674491736,1.245988991
GDR1_2162969788241973632,313.68607457615644,44.52895151743057,P,267.9836078589194,0.915095917
2MASS_J20513761+4420045,312.90671018608987,44.334575073344155,P,12.720846587937025,1.119907024
GDR1_2162942918926094208,312.95230917862733,44.088782803535345,P,NA,1.265096156
2MASS_J20512464+4417549,312.85269574350593,44.2985839360818,P,NA,1.02214212
GDR1_2162955185352996096,313.0539040561621,44.34816854948304,QPS,267.9836078589194,NA
2MASS_J20511374+4422252,312.8072667450728,44.37366095322359,P,2.0764924895056884,1.04993383
PSO_J205746.108+435819.388,314.44213656562806,43.9720249165979,P,NA,0.7474581790000001
GDR1_2162944911791083136,313.09385664703177,44.23337851243401,P,3.0091944056539335,3.022677546
GDR1_2162117563651224960,314.3612272648295,43.59153144981275,P,6.957030085308134,0.991578348
GDR1_2163138361418522624,312.9135525014715,44.40778696773347,QPS,NA,4.245921966
GDR1_2162902683672550912,314.0487983814546,44.18196083626438,QPD,4.4753956559250545,6.186233801
GDR1_2163135573981345152,312.7565367275058,44.26166089652195,P,7.366154817731174,NA
GDR1_2162144295529814400,314.39387970777636,43.99851794509296,P,NA,0.7713181729999999
GDR1_2162221673657766272,314.62700181220225,43.90262235999385,P,334.01869599074337,1.4623202530000001
2MASS_J20505703+4416432,312.7376315077925,44.27864805810313,P,NA,0.9573592870000001
GDR1_2162945976943020416,313.0767383034075,44.27513466759154,QPS,NA,3.080463098
GDR1_2162965012238950656,313.4077230134428,44.405784683179455,P,14.440187864548266,1.551270561
2MASS_J20511244+4419430,312.80183169696824,44.328612863646676,P,4.210812707969802,1.030245907
GDR1_2163136123738466688,312.80038267902404,44.313240837133534,P,NA,0.866385713
2MASS_J20523553+4419105,313.14808327180987,44.31955554116554,B,286.922868842604,1.135067598
GDR1_2163135677060562176,312.7737481103964,44.2756174992443,QPS,29.176171139403525,4.364081301000001
GDR1_2162949309837722880,313.00072099191436,44.333053725436564,P,4.95618060834187,1.217247935
GDR1_2163155055959979392,312.6678481482751,44.51358919827957,P,251.3898193716949,4.662113152
GDR1_2066844954118735744,313.0565416594131,43.677474814002274,P,9.098257556648106,1.913257262
GDR1_2162969788241971712,313.6900622847246,44.52697728864731,P,12.760830435898594,1.183208802
GDR1_2163155227752761088,312.70038599475987,44.56016414568739,P,6.35196097382676,1.0747780470000001
DPP2017_409,314.80322628703317,44.2741206966779,B,NA,NA
GDR1_2162966798944719488,313.5365549737283,44.503181058530046,P,NA,0.8568859329999999
GDR1_2162976488391103104,313.72986376326577,44.74190717333157,B,267.9836078589194,1.1274911509999999
GDR1_2162941716335179008,312.9884250111627,44.03779365337419,U,7.4841512120882125,NA
