ID,RA,DEC,NU,rMean,PER,Q,M,primary_class,secondary_class,per_changed,star Identifier,odr slope,odr slope error,intercept,intercept error,angle,angle error,pythag
2MASS_J20511252+4418093,312.80219789507777,44.30255956257102,0.0099767797127676,17.507911318037973,7.988072978,0.293629507,-0.115032841,p,,,2MASS_J20511252+4418093,1.4901026968348234,0.1497621918341352,16.581299544534133,0.2847145152705526,56.13464774669963,2.650696753388055,0.5499037101448508
2MASS_J20511262+4418454,312.8025823261458,44.31261411198452,0.0138383504745644,13.068657866019418,,0.924204984,-0.208446847,s,,,2MASS_J20511262+4418454,0.7444494351909199,0.1681902800011676,13.396723244349074,0.2197537996893404,36.66581724579523,6.067389125280879,0.3489339323735613
2MASS_J20511374+4422252,312.8072667450728,44.37366095322359,0.0107920382475184,18.71398950095541,2.076397142,0.446185117,-0.088629355,qps,,,2MASS_J20511374+4422252,1.0493254389457984,0.0424587739500768,18.61522082443973,0.0814910891323297,46.37879208441752,1.159108767089608,0.8574226692554875
2MASS_J20511455+4413379,312.8106511817742,44.22717526035429,0.007355554428609,17.319683960516606,235.4983471,0.816245123,-0.003947203,qps,,,2MASS_J20511455+4413379,1.4813121557791409,0.0941910232886594,16.326899192212096,0.1942096883169686,55.97761303125174,1.6910794133235014,0.5818486811376468
2MASS_J20512059+4420322,312.8358131674537,44.34228588851912,0.0070382604601158,16.97498299079365,1.623785909,0.809538389,-0.422165856,b,,,2MASS_J20512059+4420322,1.0705425193890077,0.0601818139172887,16.836363626046094,0.1152635194732312,46.95128845013905,1.6040890891566062,0.4118425772815669
2MASS_J20512139+4424054,312.83911742903166,44.40149991620572,0.0078098505966115,13.141350378481016,,0.832574785,-0.18360734,b,,,2MASS_J20512139+4424054,1.0633203534424027,0.2707361766952729,13.07353468971546,0.2879905646885241,46.75777362935655,7.038294814638716,0.2439144468042928
2MASS_J20515226+4418213,312.9677502432141,44.3059157295101,0.0280091086084606,18.200085904761902,2.026,0.8639514496242007,0.044634811,qps,,True,2MASS_J20515226+4418213,1.329430760447506,0.0940067665713629,17.531656564174448,0.1857133718599666,53.04945499097807,1.93550625122838,1.2506654996025364
2MASS_J20522880+4418297,313.1200224959053,44.30822974945297,0.0382967377905526,18.360091347619047,9.993746026,0.56793159,0.496119698,qpd,,,2MASS_J20522880+4418297,1.599043727309002,0.3385587366800324,17.123599773897425,0.6642077728107338,57.97921960487503,5.488203973294046,1.85621108552496
2MASS_J20523394+4429168,313.14143743188987,44.48800174730115,0.0084458600536999,17.406404526265824,8.615267333,0.291655047,0.082551618,p,,,2MASS_J20523394+4429168,1.2750269976370303,0.0697395394672284,16.749109382207177,0.1650791512020415,51.89301222333084,1.5227557579240218,0.5976714868142974
2MASS_J20532233+4438526,313.3430529515253,44.64793142704991,0.0071508749306128,15.530116970476191,2.430701549,0.658417215,-0.189460764,qps,,,2MASS_J20532233+4438526,0.9514634300230316,0.0675677802514312,15.644325346854394,0.1534926659785576,43.57523970196758,2.0261487976224086,0.289022037599412
2MASS_J20533662+4439529,313.40262665227465,44.66467215720368,0.0099865396801206,16.721199944303795,3.208763089,0.443769141,0.597817034,qpd,,,2MASS_J20533662+4439529,1.2551942678216126,0.0883607578050436,16.11693886975973,0.2043126539320985,51.45603763057031,1.9597622936626744,0.7044804442752785
2MASS_J20564400+4346000,314.1833687815177,43.76669443921591,0.0150611339661432,18.060018507973425,4.061232427,0.452652619,0.206436597,qps,,,2MASS_J20564400+4346000,1.081830712859237,0.0783278087115368,17.913954259377974,0.138449510278944,47.25097162684483,2.0792643328860905,0.8267628373901778
2MASS_J20570162+4341387,314.2567903242784,43.69410701051157,0.011315739744883,18.564869548504983,2.988385751,0.611440255,-0.048691536,qps,,,2MASS_J20570162+4341387,1.0513633693072642,0.0591519463484475,18.46481057084377,0.1122867671954441,46.434309101809895,1.6086566620776102,0.7339694769971321
2MASS_J20582381+4353114,314.59920599772784,43.88648447204281,0.0406147719677702,13.15541461960133,1.01140284,0.778661303,0.841031532,qpd,,,2MASS_J20582381+4353114,3.565425815715269,0.1266981698700215,10.00502676315626,0.1537300152523144,74.33271051102194,0.5269941927152298,1.1078825706902486
DPP2017_409,314.8032262870332,44.2741206966779,0.0083428592246347,17.163282937962965,,0.78291384,-0.431468947,b,,,DPP2017_409,0.6427132756020784,0.1108565325235381,18.005121739388745,0.2569435653606433,32.729391507121086,4.459646368121995,0.4830256818784232
FHK_101,312.8605833333333,44.60799999999998,0.0643637317942498,18.2055116514377,8.997,0.8925445647743846,-0.047175781,s,,True,FHK_101,-16.81419408327935,47.42739780275198,52.050230476148826,90.52541607455362,-86.59642485338719,88.74679224615848,2.6067809543596026
